date_time,volume,side,log_ret,mom1,mom2,mom3,mom4,mom5,volatility_50,volatility_31,volatility_15,autocorr_1,autocorr_2,autocorr_3,autocorr_4,autocorr_5,log_t1,log_t2,log_t3,log_t4,log_t5
2003-05-18 17:50:00,3666,1,0,0,-0.000151791135398,0,-0.000151791135398,-0.000910056120128,0.00130526254058,0.001647599636251,0.0023714321995,0.04007610672159,-0.05170572759683,-0.002199957524264,-0.126282910692677,-0.035553743196244,-0.000151802656838,0.000151802656838,-0.000151802656838,-0.000758667815769,-0.000151664518377
2003-05-18 17:56:00,3692,1,-0.000151779616289,-0.000151768098346,-0.00030349013657,0.000151814179445,0.000151814179445,0,0.001307062733968,0.001644775740811,0.000383987048798,0.039012277607755,-0.054769332229132,-0.002262016127075,-0.127159862580034,-0.037343401815083,-0.000151756582733,0.00045533885586,0,-0.000151802656838,0.000151802656838
2003-05-18 18:02:00,2714,1,-0.000151848758928,-0.000151837230489,-0.000303628358889,-0.000455373406193,-0.000607072393383,-0.000758725341427,0.001304329566114,0.001648258614912,0.000273863890589,0.041376457733058,-0.052585746146241,0.001806849069647,-0.125883735421506,-0.038213444161732,-0.000151825704383,-0.000151802656838,-0.000151779616289,-0.000151756582733,0.00045533885586
2003-06-06 08:52:00,2443,-1,-0.003665805235413,-0.003659094374142,-0.00653694131955,-0.00653694131955,-0.006083650190114,-0.008496434531938,0.00079079957536,0.000959621878692,0.001213175527957,0.424817880686623,0.018854479384608,0.222825613081261,0.598042248825651,0.463990010491955,-0.002892595455267,0,0.000456169703037,-0.002430504006755,-0.000909918170151
2003-06-06 08:53:00,3576,-1,0.002750612981175,0.002754399387911,-0.000914773593536,-0.003800547278808,-0.003800547278808,-0.003346007604563,0.000900822425633,0.001120102088016,0.001527020328968,0.000691213401075,-0.284539672148099,0.219762813761558,0.60476850390125,-0.024196311580109,-0.003665805235413,-0.002892595455267,0,0.000456169703037,-0.002430504006755
2003-06-06 08:54:00,3218,-1,0.001677213170485,0.00167862047917,0.004437643458302,0.000762311327946,-0.002128306476133,-0.002128306476133,0.000940189949002,0.001175581585724,0.001643000422979,0.141836845156418,-0.392807531672225,-0.011935425799462,0.597777029330455,0.035131998478437,0.002750612981175,-0.003665805235413,-0.002892595455267,0,0.000456169703037
2003-06-06 08:55:00,2739,-1,0.000761440682492,0.000761730652042,0.002441629787884,0.005202754399388,0.001524622655893,-0.001368197020371,0.000947418707691,0.001188654510331,0.001657839811863,0.174534470883928,-0.274973298582119,-0.103364994837895,0.373599428602528,0.044602527736619,0.001677213170485,0.002750612981175,-0.003665805235413,-0.002892595455267,0
2003-06-06 08:56:00,3534,-1,-0.000456794830935,-0.00045669051606,0.000304692260817,0.001983824202655,0.004743687834736,0.001067235859125,0.000947742707916,0.001188702495383,0.001657833916265,0.166147035540907,-0.275382900118926,-0.110161753672935,0.318284667607232,0.057820766052179,0.000761440682492,0.001677213170485,0.002750612981175,-0.003665805235413,-0.002892595455267
2003-06-06 08:57:00,2405,-1,0.002281890394581,0.002284495887908,0.001826762064241,0.002589884216941,0.004272852128796,0.007039020657996,0.001010439196915,0.001275530609459,0.001806323752049,0.141471766475713,-0.205370386577189,0.003721837532386,0.430260249510917,-0.175487554081001,-0.000456794830935,0.000761440682492,0.001677213170485,0.002750612981175,-0.003665805235413
2003-06-06 09:00:00,2479,-1,0,0,0,0.000607810363167,0.002893694791349,0.002435682752321,0.001015902610398,0.001282995385835,0.001819495832851,0.170582733036237,-0.183802252571119,0.023636894242839,0.436176598890986,-0.086050643986413,0,0.000607625721262,0.002281890394581,-0.000456794830935,0.000761440682492
2003-06-06 09:01:00,3113,-1,-0.000607625721262,-0.000607441154138,-0.000607441154138,-0.000607441154138,0,0.002284495887908,0.0010180883829,0.00128164470348,0.001802148176858,0.169153219753196,-0.184666256969271,0.016600829176304,0.385797194653075,-0.083670329058157,0,0,0.000607625721262,0.002281890394581,-0.000456794830935
2003-07-09 11:20:00,2863,1,0.00015254366592,0.000152555301297,-0.000304971027753,-0.000304971027753,0,0.000763242253091,0.000559348028915,0.000658219911433,0.000446349156826,0.204532896248464,-0.262584967534926,-0.253368780449983,-0.031947307670687,0.165128193478136,-0.000457561206793,0,0.000305017540873,0.000762951131844,-0.000610407465924
2003-07-09 11:23:00,2863,1,0,0,-0.000152462265589,0.000305064063453,0.00045766590389,0,0.000560630769843,0.000613853362704,0.00043471461911,0.213417967111716,-0.285647284459691,-0.264497868307998,-0.014840139086746,0.179712631867554,-0.000152473889142,0.000457491430015,0.00015254366592,-0.000457561206793,0
2003-09-30 11:01:00,3530,-1,-0.000886132091658,-0.00088573959256,-0.003386835517597,-0.003386835517597,-0.004705882352941,-0.006021442208841,0.001329366341929,0.001660352893676,0.001032657989318,0.095782475389566,-0.172299871694094,-0.144471188849875,-0.109881243360116,-0.158590440745916,-0.002506451736074,0,-0.001324406050407,-0.001322654318768,-0.000146853660591
2003-09-30 11:02:00,3064,-1,0.001771479648382,0.00177304964539,0.00088573959256,-0.00161979089972,-0.00161979089972,-0.002941176470588,0.001358377213551,0.001702145044295,0.00105460841488,0.079062205035939,-0.215016269944634,-0.134399948379615,-0.13341244930052,-0.182160731314162,-0.000886132091658,-0.002506451736074,0,-0.001324406050407,-0.001322654318768
